CityName,TouristSpot,Description,Images,Maps,Hotels,Attractions,Meals,
Japan,The Island Shrine Of Itsukushima,"
Just a short ferry ride from mainland Hiroshima is the island of Miyajima, famous the world over as Japan's Shrine Island. Covering an area of 30 square kilometers in Hiroshima Bay, Miyajima is best known as the home of the Itsukushima Shrine, a Shinto temple dedicated to the Princess daughters of the wind god Susanoo. Dating from the eighth century, the majority of the shrine's buildings rise out of the waters of a small bay supported only by piles. The effect at high tide is simply stunning, making these structures - including the famous Great Floating Gate (O-Torii) - appear as if they're floating on water. Linked together by walkways and bridges, it's a fascinating place to explore, in particular its larger halls such as the exquisite Honden (Main Hall), the Offerings Hall (Heiden), the Prayer Hall (Haiden), and the Hall of a Thousand Mats (Senjokaku). Another notable feature is the shrine's stage where visitors are entertained with traditional dances and musical performances. Also worth exploring are the island's exquisite grounds and gardens, home to wild deer and numerous bird colonies.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Itsukushima_Shrine_Torii_Gate_%2813890465459%29.jpg/660px-Itsukushima_Shrine_Torii_Gate_%2813890465459%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Itsukushima_Shrine_at_high_tide.jpg/620px-Itsukushima_Shrine_at_high_tide.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Itsukushima_Shinto_Shrine.jpg/700px-Itsukushima_Shinto_Shrine.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Tori_gate_01.jpg/620px-Tori_gate_01.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Itsukushima_Honden_Haiden.jpg/620px-Itsukushima_Honden_Haiden.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Torii_and_Itsukushima_Shrine.jpg/620px-Torii_and_Itsukushima_Shrine.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Miyajima_Alex.jpg/620px-Miyajima_Alex.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Itsukushima-jinja_torii_at_sunset.jpg/620px-Itsukushima-jinja_torii_at_sunset.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3296.1395193374774!2d132.31764287897337!3d34.29598848063562!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x601ae3047ec76d8f%3A0x357228f7d0b5d590!2sItsukushima%20Shrine!5e0!3m2!1sen!2sin!4v1601288639439!5m2!1sen!2sin,"['Miyajima Grand Hotel Arimoto', 'Kikunoya', 'Miyajima Guest House Mikuniya', 'Hotel Miya Rikyu', 'Iwaso']",['Itsukushima Shrine'],['Itsukushima Shrine'],
Japan,Osaka Castle,"
Built in 1586 by famous Japanese warrior and politician Toyotomi Hideyoshi, Osaka Castle (Ōsaka-jō) was at the time the largest and most important fortress in the country. Although destroyed and rebuilt a number of times since, the present structure, built in 1931, remains true to the original. Highlights of a visit include the huge five-story, 42-meter-tall main tower built on an imposing 14-meter-tall stone base and home to a number of displays detailing the history of the castle and the city; be sure to visit the top floor for its superb views over Osaka, an especially attractive sight as the sun sets. Also of interest in Osaka Castle Park is the Hokoku Shrine, while Osaka's best-known temple, Shitennō-ji, is also worth visiting and dates back to AD 59. Notable as Japan's first Buddhist temple, this lovely shrine features a five-story pagoda along with a number of other exquisitely decorated buildings including the Golden Pavilion (Kondō) with its fine statues and paintings, the Lecture Hall (Kōdō), and a lovely covered corridor linking three of the site's gates.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Osaka_Castle_02bs3200.jpg/600px-Osaka_Castle_02bs3200.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Osakajo_ramparts_and_moat.jpg/620px-Osakajo_ramparts_and_moat.jpg','//upload.wikimedia.org/wikipedia/commons/a/ac/Osaka_Castle_Nishinomaru_Garden_April_2005.JPG', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/OsakaCastle_2007-3.jpg/690px-OsakaCastle_2007-3.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/51/OsakaCastleOtemonGate.jpg/620px-OsakaCastleOtemonGate.jpg','//upload.wikimedia.org/wikipedia/commons/9/94/Osaka_Castle_Keep_Tower_in_201504_001.JPG']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.7074113655435!2d135.52377217898692!3d34.68733328053364!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e0cd5c283afd%3A0xf01d07d5ca11e41!2sOsaka%20Castle!5e0!3m2!1sen!2sin!4v1601288733704!5m2!1sen!2sin,"['Osaka Castle Hotel', 'Hotel Keihan Temmabashi', 'Hotel New Otani Osaka', 'Hotel Sun White', 'APA Villa Hotel Osaka Tanimachi Yonchome-Ekimae']","['Osaka Castle Park', 'Osaka Castle Main Tower (Osaka Castle Museum)', 'Nishinomaru Garden - Osaka Castle', 'Statue of Toyotomi Hideyoshi', 'Timecapsule Expo�70']","['Tokumasa Udon Morinomiya', 'Osaka Castle Park', 'The Konamon Bar Rikyu', 'The Landmark Square Osaka', 'Teppan Grill Keyaki']",
Japan,Chubu-Sangaku National Park,"
Japan boasts a number of outstanding areas of natural beauty, many of them designated as national parks or, in some cases, UNESCO World Heritage Sites. One of the country's most spectacular parks is Chūbu-Sangaku National Park in the center of Honshu, incorporating in its northern and central regions the group of mountains collectively referred to as the Hida Mountains, or Japanese Alps. The region contains some of the highest peaks in the country, including Hotaka at 3,190 meters, and Yari at 3,180 meters. Similar in many ways to the Alps of Central Europe - both in the character of the landscape and in its abundance of snow in winter - the Japanese Alps attract large numbers of walkers and climbers in summer and skiers in winter. Of particular interest is the park's abundance of flora and fauna, including the rare ptarmigan and mountain antelopes found at higher altitudes. The park's many hot springs also draw visitors and led to the development of various spas and holiday resorts, the best known being Kamikōchi.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Akaishi_Mountains_2006-11-13.jpg/670px-Akaishi_Mountains_2006-11-13.jpg', '//upload.wikimedia.org/wikipedia/commons/1/1d/Kamikochi_and_Mount_Hotaka_1999-05-22.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Finnair_flight_over_Japanese_Alps.jpg/1280px-Finnair_flight_over_Japanese_Alps.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Mount_Tate_and_Mount_Tsurugi_from_Mount_Nunobiki.jpg/1200px-Mount_Tate_and_Mount_Tsurugi_from_Mount_Nunobiki.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3209.131258931384!2d137.62145387904965!3d36.45438408011912!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5ff7cb3fb986c123%3A0x8e4d178c6facb31b!2sChubusangaku%20National%20Park!5e0!3m2!1sen!2sin!4v1601288862782!5m2!1sen!2sin,['Kamikochi'],[],['Chubusangaku National Park'],
Japan,Atsuta Shrine,"
The Atsuta Shrine, in the heart of the city of Nagoya, is the most important Shinto shrine in Japan, and attracts more than five million visitors each year. Established in the first century, this religious site is famous for its preserved Imperial insignia, the grass-mowing sword (kusanagi-no-tsurugi), one of only three in the country. Also of interest are its principal shrine, Hongu, surrounded by an enclosing wall, and the treasury with its numerous works of art, including old and modern paintings, ceramics, jewelry, and traditional masks. While in Nagoya, be sure to also visit Nagoya Castle, a splendid moated complex built in 1612 boasting a 48-meter-high main tower that is famous for its two gilded dolphins (shachi), its museum containing art treasures from the former palace, and its spectacular views over the city and the Nobi Plain.","['//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Atsuta_Shrine.jpg/620px-Atsuta_Shrine.jpg', '//upload.wikimedia.org/wikipedia/commons/a/a5/Atsutajingu5.JPG','//upload.wikimedia.org/wikipedia/commons/8/8a/Atsutajingu1.JPG','//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Atsutajingu4.JPG/620px-Atsutajingu4.JPG']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3263.245065741993!2d136.9067796790022!3d35.12555748042388!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60037a1b9ee1a6dd%3A0xaa951631c838e6bb!2sAtsuta%20Jingu!5e0!3m2!1sen!2sin!4v1601289042853!5m2!1sen!2sin,"['The Strings Hotel Nagoya', 'Hotel Silk Tree Nagoya', 'Excel Inn Nagoya Atsuta', 'Nagoya Prince Hotel Sky Tower', '?????????? ?????? ??????/DAIWA ROYAL HOTEL D-CITY Nagoya Nayabashi']",['Atsuta Jingu'],"['Atsuta Horaiken Jingu', 'Atsuta Horaiken - Main Restaurant', '????? ???', 'Owada', 'Yoshinoya']",
Singapore,Marina Bay Sands,"
The opulent Marina Bay Sands resort complex includes a high-end luxury hotel, a mall with a canal running through it, the ArtScience Museum, and the Marina Bay Sands Skypark Observation Deck—a vantage point for taking in the entire city. The Skypark's viewing deck and infinity pool are found in the ship (yes, ship) that tops the hotel. Only hotel guests are allowed to use the infinity pool, but anyone can visit the observation deck. From the Skypark, you can see the innovative double helix bridge, the port, the Gardens by the Bay (101 hectares of land converted into waterfront gardens), and the impressive skyline.","['//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg/600px-Marina_Bay_Sands_in_the_evening_-_20101120.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/20/View_of_MBS_from_the_gardens_%288026531707%29.jpg/620px-View_of_MBS_from_the_gardens_%288026531707%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Marina_bay_sands_skypark.jpg/620px-Marina_bay_sands_skypark.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Marina_Bay_Sands_at_twilight_%286810544192%29.jpg/620px-Marina_Bay_Sands_at_twilight_%286810544192%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/52/The_Shoppes_at_Marina_Bay_Sands%2C_Singapore.jpg/620px-The_Shoppes_at_Marina_Bay_Sands%2C_Singapore.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Marina_Bay_Sands_Casino_2013.jpg/620px-Marina_Bay_Sands_Casino_2013.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Interior_of_The_Shoppes_at_Marina_Bay_Sands%2C_Singapore.jpg/660px-Interior_of_The_Shoppes_at_Marina_Bay_Sands%2C_Singapore.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/MarinaBaySands22092012.jpg/638px-MarinaBaySands22092012.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.8166664421688!2d103.85854181457259!3d1.2838934990635915!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da19ee4cc09203%3A0x26c9afefa555dd7!2sMarina%20Bay%20Sands%20Singapore!5e0!3m2!1sen!2sin!4v1601285827724!5m2!1sen!2sin,"['The Fullerton Hotel Singapore', 'Mandarin Oriental, Singapore', 'Pan Pacific Singapore', 'The Ritz-Carlton, Millenia Singapore', 'ST Signature Bugis Beach']","['SkyPark Observation Deck', 'ArtScience Museum', 'Flower Dome', 'Gardens by the Bay', 'Singapore Flyer']","['Rise', 'Adrift by David Myers', 'Blossom Restaurant', 'Canton Paradise at Marina Bay Sands', 'Spago Dining Room']",
Singapore,Gardens By The Bay,"
Once you've glimpsed this beautifully designed green space (from the top of the Marina Bay Sands, perhaps) you won't be able to stay away. Wander through the Bay East Garden, perfect for enjoying the vibrant plant life and escaping the city bustle for a moment. You won't want to miss Supertree Grove, where you'll find a cluster of the iconic, futuristic structures designed to perform environmentally sustainable functions. Then, head to the Cloud Forest Dome to see the world's tallest indoor waterfall and learn a bit about biodiversity.","['//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Marina_Bay_Sands_from_Gardens_By_The_Bay.jpg/600px-Marina_Bay_Sands_from_Gardens_By_The_Bay.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Cloud_Forest_%28I%29.jpg/620px-Cloud_Forest_%28I%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Cloud_Forest%2C_Gardens_by_the_Bay%2C_Singapore_-_20120628-01.jpg/620px-Cloud_Forest%2C_Gardens_by_the_Bay%2C_Singapore_-_20120628-01.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Supertree_Grove_Singapore_%2836623029551%29_%282%29.jpg/620px-Supertree_Grove_Singapore_%2836623029551%29_%282%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Supertree_Grove%2C_Gardens_by_the_Bay%2C_Singapore_-_20120630-04.jpg/620px-Supertree_Grove%2C_Gardens_by_the_Bay%2C_Singapore_-_20120630-04.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Supertree_Grove%2C_Gardens_by_the_Bay%2C_Singapore_-_20120708-02.jpg/1200px-Supertree_Grove%2C_Gardens_by_the_Bay%2C_Singapore_-_20120708-02.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.8202911035924!2d103.86142451457256!3d1.2815682990652804!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da1904937e1633%3A0x62099677b59fca76!2sGardens%20by%20the%20Bay!5e0!3m2!1sen!2sin!4v1601286017076!5m2!1sen!2sin,"['Marina Bay Sands Singapore', 'The Fullerton Hotel Singapore', 'Strand Hotel Singapore', 'Hotel Bencoolen', 'Populous Hotel']","['Supertree Grove', 'Flower Dome', 'Cloud Forest', 'OCBC Skyway', 'Bay East Garden']","['Satay by the Bay', 'Hill Street Coffeeshop (Gardens by the Bay)', 'Bayleaf', 'Majestic Bay', ""McDonald's Gardens By The Bay""]",
Singapore,Botanic Gardens,"
Not to be confused with the Gardens on the Bay, the Botanic Gardens are also worth a visit. Singapore received its first UNESCO World Heritage nomination for its botanical gardens, and with good reason. The city can sometimes feel like a concrete jungle, albeit a clean and comfortable one, but the botanic gardens preserve pieces of Singapore's wilder heritage. Here, a walking trail leads to the gardens' heritage trees, which are conserved as part of an effort to protect the city's mature tree species. Make sure to visit the impressive National Orchid Garden as well. Other popular things to do include visiting the eco-garden, eco-lake, bonsai garden, sculptures, and several other formal gardens.","['//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Symphony_Lake%2C_Singapore_Botanic_Gardens_-_20041025.jpg/600px-Symphony_Lake%2C_Singapore_Botanic_Gardens_-_20041025.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bandstand%2C_Singapore_Botanic_Gardens_-_20060805.jpg/620px-Bandstand%2C_Singapore_Botanic_Gardens_-_20060805.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Singapore_Botanic_Gardens_waterfall.jpg/620px-Singapore_Botanic_Gardens_waterfall.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/78/GreenRoof-SingaporeBotanicGardens.jpg/620px-GreenRoof-SingaporeBotanicGardens.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Singapore_Botanic_Gardens_Palm_Valley.jpg/620px-Singapore_Botanic_Gardens_Palm_Valley.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Singapore_Symphony_Orchestra_-_Concert_in_Park.jpg/620px-Singapore_Symphony_Orchestra_-_Concert_in_Park.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/2016_Singapur%2C_Ogrody_botaniczne_%28255%29.jpg/620px-2016_Singapur%2C_Ogrody_botaniczne_%28255%29.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.769397387025!2d103.81372491457253!3d1.313839699041757!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da1a1c7ddb60bd%3A0xeadf14903ad3d980!2sSingapore%20Botanic%20Gardens!5e0!3m2!1sen!2sin!4v1601286675678!5m2!1sen!2sin,"['YOTEL Singapore', 'RELC International Hotel', 'Shangri-La Hotel Singapore', 'Hilton Singapore', 'JEN Singapore Tanglin by Shangri-La']","['Crane Fountain', 'Botanic Gardens Nassim Gate', 'Singapore Botanic Gardens Learning Forest', 'Ginger Garden', 'Centre for Education and Outreach']","['The Halia at Singapore Botanic Gardens', 'Casa Verde', 'Corner House', 'Botanico at The Garage', 'Fusion Spoon at Botanic Gardens']",
Singapore,Orchard Road,"
One could be forgiven for coming to Singapore and doing nothing but shopping, as this is a world-class city for style and designer chic. The Orchard Road area is a great place to start a shopping spree, as there are high-end stores at every turn. You'd expect nothing less from a neighborhood that boasts 22 malls and six department stores. There are also four movie theaters, including an IMAX cinema, and a KTV karaoke establishment. If you get hungry while burning through all that cash, there are plenty of eateries in the neighborhood serving international food.","['//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Presenting..._the_real_ION_%288200217734%29.jpg/680px-Presenting..._the_real_ION_%288200217734%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Wheelock_Place_in_a_small_package_%288169763799%29.jpg/639px-Wheelock_Place_in_a_small_package_%288169763799%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Ngee_Ann_City_Orchard_Road.jpg/639px-Ngee_Ann_City_Orchard_Road.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Orchard_Central%2C_2011.jpg/680px-Orchard_Central%2C_2011.jpg', '//upload.wikimedia.org/wikipedia/en/thumb/3/38/Singapore_Paragon_Facade.jpg/639px-Singapore_Paragon_Facade.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/1_ion_orchard_road_singapore_2012.jpg/620px-1_ion_orchard_road_singapore_2012.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Plaza_Singapura_2013.jpg/620px-Plaza_Singapura_2013.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Orchard_MRT_Station_Exit%2C_2016.jpg/620px-Orchard_MRT_Station_Exit%2C_2016.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.7887319451393!2d103.83588791457254!3d1.3016739990506163!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da199148e6febb%3A0x8e99f73f37fef4fa!2sOrchard%20Rd%2C%20Singapore!5e0!3m2!1sen!2sin!4v1601286806236!5m2!1sen!2sin,"['Mandarin Orchard Singapore', 'Orchard Hotel Singapore', 'Holiday Inn Express Singapore Orchard Road', 'YOTEL Singapore', 'Hotel Supreme']","['Orchard Central', 'Duck & Hippo', 'Orchard Hotel Singapore', 'Orchard Towers', 'Orchard Gateway']","['Crossroads', 'Hua Ting Restaurant ????', 'Tsuru-Koshi Udon', 'March� M�venpick', 'Mitzo Restaurant & Bar']",
Singapore,Singapore Flyer,"
If the observation deck at the Marina Bay Sands doesn't quite do it for you, try taking in high tea while looking out over the city from the Singapore Flyer, the world's largest giant observation wheel. Choose from several different packages that allow you to be served and pampered while enjoying a view that encompasses not only the Singapore skyline but as far away as the Spice Islands of Indonesia and Malaysia's Straits of Johor.  There are several different ticket packages to choose from, and each includes access to the multimedia Journey of Dreams exhibit, which delves into Singapore's history and the creation of the Singapore Flyer. Flights last 30 minutes and run from early morning until late at night, so you can choose which view of the city you want to enjoy: the beginning of another bustling day or when Singapore is aglow after dark.","['//upload.wikimedia.org/wikipedia/commons/thumb/1/17/Singapore_Singapore-Flyer-Ferris-wheel-01.jpg/650px-Singapore_Singapore-Flyer-Ferris-wheel-01.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Aerial_perspective_of_the_Singapore_Flyer.jpg/620px-Aerial_perspective_of_the_Singapore_Flyer.jpg', '//upload.wikimedia.org/wikipedia/commons/5/53/Singapore_flyer_capsule_cu.JPG', '//upload.wikimedia.org/wikipedia/commons/9/98/Singapore_flyer_capsule_inside.JPG','//upload.wikimedia.org/wikipedia/commons/a/a9/1_-_Yakult_Rainforest_Discovery.JPG']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.8082149497554!2d103.86094811457254!3d1.2892987990596365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da19a936c551cd%3A0x7fb4e58ad9cd826e!2sSingapore%20Flyer!5e0!3m2!1sen!2sin!4v1601286905608!5m2!1sen!2sin,"['Marina Bay Sands Singapore', 'The Ritz-Carlton, Millenia Singapore', 'Mandarin Oriental, Singapore', 'ST Signature Bugis Beach', 'The Fullerton Hotel Singapore']","['Gardens by the Bay', 'Flight Experience Singapore', 'Flyer Lounge', 'Cloud Forest', 'Singapore Food Treats']","['Singapore Food Treats', ""Bhandari's Saffron"", 'Saffron Indian Cuisine', 'Sky View Pavilion', 'Gelatissimo Singapore Flyer']",
Singapore,Clarke Quay,"
The center of commerce during the 19th century, Clarke Quay lives up to its legacy as a busy hub. Today, it has a more polished sheen, so after a long day of shopping on Orchard Road, visitors can happily head to Clarke Quay for an evening of waterfront dining and entertainment. River taxis and cruises also depart from here, giving tourists the chance to admire some of the city's historic bridges and view landmarks like the Merlion from the water. The Quay's biggest hit with younger tourists is a giant bungee-jumping attraction, an adrenaline-packed thrill ride. Nearby attractions include the Asian Civilisation Museum; the Civil Defence Heritage Gallery located in Singapore's oldest fire station; and the Hong San See Temple, a picturesque century-old Buddhist place of worship.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/1_clarke_quay_singapore_night_2014.jpg/650px-1_clarke_quay_singapore_night_2014.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Clarke_Quay_Panorama%2C_Feb_06.jpg/600px-Clarke_Quay_Panorama%2C_Feb_06.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Clarke_Quay%2C_Singapore%2C_at_night_-_20150308.jpg/620px-Clarke_Quay%2C_Singapore%2C_at_night_-_20150308.jpg','//upload.wikimedia.org/wikipedia/commons/f/fb/Clarke_Quay_9%2C_Feb_06.JPG']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.810005680887!2d103.84452941457256!3d1.2881553990604717!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da190a909cdd27%3A0xb777dde717fa0245!2sClarke%20Quay!5e0!3m2!1sen!2sin!4v1601286989216!5m2!1sen!2sin,"['Holiday Inn Express Singapore Clarke Quay', 'Park Hotel Clarke Quay', 'Jayleen Clarke Quay Hotel', 'S Inn Clarke Quay', 'Porcelain Hotel Singapore']","['Clarke Quay', 'Singapore River Cruise', 'Boat Quay', 'Fort Canning Park', 'Read Bridge (Malacca Bridge)']","['SQUE Rotisserie & Alehouse', 'RENNthai', 'The RANCH Steakhouse By ASTONS', '??? Haidilao Hot Pot @Clarke Quay', 'Violet Oon Satay Bar & Grill']",
Singapore,Merlion Park,"
Singapore's Merlion is just what it sounds like—the figure of a mythical creature that has the head of a lion and the body and tail of a fish. The Merlion represents the city's humble start as a fishing village combined with its traditional Malay name Singapura, lion city. The structure, which was relocated to Merlion Park in 2002, where it can overlook Marina Bay, weighs 70 tonnes and stands at 8.6 meters tall, spouting water from its mouth in a fountain. The Merlion Cub sits nearby, only two meters tall but a hefty three tonnes, and there are five additional official Merlion statues throughout the city. Merlion Park is an ideal spot for photo-ops, whether you are taking a selfie in front of the iconic creature or capturing the magnificent views from the park as it looks out over the bay.","['//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Merlion_statue%2C_Merlion_Park%2C_Singapore_-_20110723.jpg/600px-Merlion_statue%2C_Merlion_Park%2C_Singapore_-_20110723.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Singapore_Merlion-at-Marina-Bay-02.jpg/620px-Singapore_Merlion-at-Marina-Bay-02.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/2016_Singapur%2C_Downtown_Core%2C_Merlion_%2803%29.jpg/620px-2016_Singapur%2C_Downtown_Core%2C_Merlion_%2803%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Singapore_Merlion-at-Marina-Bay-03.jpg/620px-Singapore_Merlion-at-Marina-Bay-03.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Aerial_Panorama_of_Merlion_Park_and_its_surrounds.jpg/720px-Aerial_Panorama_of_Merlion_Park_and_its_surrounds.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Time-lapse_video_of_the_Merlion_statue%2C_Merlion_Park%2C_Singapore_-_20160614.webm/620px--Time-lapse_video_of_the_Merlion_statue%2C_Merlion_Park%2C_Singapore_-_20160614.webm.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Merlion_2.jpg/620px-Merlion_2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Singapore_-_Merlion_0005.jpg/620px-Singapore_-_Merlion_0005.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/The_Merlion.jpg/620px-The_Merlion.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.812291820996!2d103.85212971457248!3d1.286694199061531!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da190ed6203605%3A0x66ad5eee6e01f3a7!2sMerlion%20Park!5e0!3m2!1sen!2sin!4v1601287038987!5m2!1sen!2sin,"['The Fullerton Hotel Singapore', 'Marina Bay Sands Singapore', 'Porcelain Hotel Singapore', 'S Inn Clarke Quay', 'Hotel Clover']",['Merlion Park'],"['Riviera Forlino', 'Merlion Park', 'Palm Beach Seafood Restaurant', 'OverEasy', 'Saint Pierre']",
